run_id,timestep,actions_0,actions_1,map,score,order_list,validator_err_0,validator_err_1,format_err_0,format_err_1,first_validator_msg_0,first_validator_msg_1,scene_raw_p0,scene_raw_p1,chef_holds,asst_holds,chef_queue_str,asst_queue_str,pot_line,delta_chef_holds,delta_asst_holds,delta_pot_line,chef_queue_len,asst_queue_len,delta_chef_queue_len,delta_asst_queue_len
a82f5e57a5ad62e4,0,wait(1),"pickup(potato, ingredient_dispenser)","X       X       X       P       X       

I               X       ↑0      X       

C       ↑1      X               X       

D               X               O       

X       B       X       S       X       

",0,baked_potato_slices,0,0,0,0,,,"Successful Action History: []
Lessons from Past Failures
[]
Chef space:pot0  oven0  counter 
Assistant space:chopping_board0  blender0  dish_dispenser  ingredient_dispenser
Order:baked_potato_slices
Scene 0: <Chef> holds nothing. The planned sequence of actions (yet to be performed) for Chef is [] <Assistant> holds nothing. The planned sequence of actions (yet to be performed) for Assistant is [] Kitchen states: <pot0> is empty; <chopping_board0> is empty; <oven0> is empty; <blender0> is empty; 3 counters can be visited by <Chef>. Their states are as follows: counters have nothing.
",,nothing,nothing,,,<pot0> is empty,True,True,True,0,0,0.0,0.0
a82f5e57a5ad62e4,1,wait(1),"pickup(potato, ingredient_dispenser)","X       X       X       P       X       

I       ↑1      X       ↑0      X       

C               X               X       

D               X               O       

X       B       X       S       X       

",0,baked_potato_slices,0,0,0,0,,,"Successful Action History: []
Lessons from Past Failures
[]
Chef space:pot0  oven0  counter 
Assistant space:chopping_board0  blender0  dish_dispenser  ingredient_dispenser
Order:baked_potato_slices
Scene 1: <Chef> holds nothing. The planned sequence of actions (yet to be performed) for Chef is [] <Assistant> holds nothing. The planned sequence of actions (yet to be performed) for Assistant is [pickup(potato, ingredient_dispenser); place_obj_on_counter()] Kitchen states: <pot0> is empty; <chopping_board0> is empty; <oven0> is empty; <blender0> is empty; 3 counters can be visited by <Chef>. Their states are as follows: counters have nothing.
",,nothing,nothing,,"pickup(potato, ingredient_dispenser); place_obj_on_counter()",<pot0> is empty,False,False,False,0,2,0.0,2.0
a82f5e57a5ad62e4,2,wait(1),"pickup(potato, ingredient_dispenser)","X       X       X       P       X       

I       ←1      X       ↑0      X       

C               X               X       

D               X               O       

X       B       X       S       X       

",0,baked_potato_slices,0,0,0,0,,,"Successful Action History: []
Lessons from Past Failures
[]
Chef space:pot0  oven0  counter 
Assistant space:chopping_board0  blender0  dish_dispenser  ingredient_dispenser
Order:baked_potato_slices
Scene 2: <Chef> holds nothing. The planned sequence of actions (yet to be performed) for Chef is [] <Assistant> holds nothing. The planned sequence of actions (yet to be performed) for Assistant is [pickup(potato, ingredient_dispenser); place_obj_on_counter()] Kitchen states: <pot0> is empty; <chopping_board0> is empty; <oven0> is empty; <blender0> is empty; 3 counters can be visited by <Chef>. Their states are as follows: counters have nothing.
",,nothing,nothing,,"pickup(potato, ingredient_dispenser); place_obj_on_counter()",<pot0> is empty,False,False,False,0,2,0.0,0.0
a82f5e57a5ad62e4,3,wait(1),place_obj_on_counter(),"X       X       X       P       X       

I       ←1p     X       ↑0      X       

C               X               X       

D               X               O       

X       B       X       S       X       

",0,baked_potato_slices,1,0,0,0,"There is no potato on counter chef can visited.If assistant is already preparing ingredient for you,you should wait.

",,"Successful Action History: []
Lessons from Past Failures
[]
Chef space:pot0  oven0  counter 
Assistant space:chopping_board0  blender0  dish_dispenser  ingredient_dispenser
Order:baked_potato_slices
Scene 3: <Chef> holds nothing. The planned sequence of actions (yet to be performed) for Chef is [pickup(potato, counter)] <Assistant> holds one potato. The planned sequence of actions (yet to be performed) for Assistant is [ place_obj_on_counter()] Kitchen states: <pot0> is empty; <chopping_board0> is empty; <oven0> is empty; <blender0> is empty; 3 counters can be visited by <Chef>. Their states are as follows: counters have nothing.

Below are the failed and analysis history about your last chosed action,you can use the information to reach correct action alone AND DO NOT COMMUNICATE WITH YOUR TEAMMATE :
Your action pickup(potato, counter) raised an error: There is no potato on counter chef can visited.If assistant is already preparing ingredient for you,you should wait.


",,nothing,one potato,"pickup(potato, counter)",place_obj_on_counter(),<pot0> is empty,False,True,False,1,1,1.0,-1.0
a82f5e57a5ad62e4,4,wait(1),place_obj_on_counter(),"X       X       X       P       X       

I       →1p     X       ↑0      X       

C               X               X       

D               X               O       

X       B       X       S       X       

",0,baked_potato_slices,0,0,0,0,,,"Successful Action History: []
Lessons from Past Failures
[]
Chef space:pot0  oven0  counter 
Assistant space:chopping_board0  blender0  dish_dispenser  ingredient_dispenser
Order:baked_potato_slices
Scene 4: <Chef> holds nothing. The planned sequence of actions (yet to be performed) for Chef is [] <Assistant> holds one potato. The planned sequence of actions (yet to be performed) for Assistant is [place_obj_on_counter()] Kitchen states: <pot0> is empty; <chopping_board0> is empty; <oven0> is empty; <blender0> is empty; 3 counters can be visited by <Chef>. Their states are as follows: counters have nothing.
",,nothing,one potato,,place_obj_on_counter(),<pot0> is empty,False,False,False,0,1,-1.0,0.0
a82f5e57a5ad62e4,5,wait(1),"pickup(potato, counter)","X       X       X       P       X       

I       →1      Xp      ↑0      X       

C               X               X       

D               X               O       

X       B       X       S       X       

",0,baked_potato_slices,0,1,0,0,,"There is no object in assistant's hand, so can not put it on chopping_board0.
","Successful Action History: []
Lessons from Past Failures
[]
Chef space:pot0  oven0  counter 
Assistant space:chopping_board0  blender0  dish_dispenser  ingredient_dispenser
Order:baked_potato_slices
Scene 5: <Chef> holds nothing. The planned sequence of actions (yet to be performed) for Chef is [] <Assistant> holds nothing. The planned sequence of actions (yet to be performed) for Assistant is [put_obj_in_utensil(chopping_board0);cut(chopping_board0)] Kitchen states: <pot0> is empty; <chopping_board0> is empty; <oven0> is empty; <blender0> is empty; 3 counters can be visited by <Chef>. Their states are as follows: 1 counters have potato which you can pick it up. 
","Successful Action History: [{'timestamp': 3, 'action': 'pickup(potato, ingredient_dispenser)'}, {'timestamp': 5, 'action': 'place_obj_on_counter()'}]
Lessons from Past Failures
[]
Chef space:pot0  oven0  counter 
Assistant space:chopping_board0  blender0  dish_dispenser  ingredient_dispenser
Order:baked_potato_slices
Scene 5: <Assistant> holds nothing. The planned sequence of actions (yet to be performed) for Assistant is [put_obj_in_utensil(chopping_board0)] <Chef> holds nothing. The planned sequence of actions (yet to be performed) for Chef is [] Kitchen states: <pot0> is empty; <chopping_board0> is empty; <oven0> is empty; <blender0> is empty; 3 counters can be visited by <Assistant>. Their states are as follows: 1 counters have potato which you can pick it up. 

Below are the failed and analysis history about your last chosed action,you can use the information to reach correct action alone AND DO NOT COMMUNICATE WITH YOUR TEAMMATE :
Your action put_obj_in_utensil(chopping_board0) raised an error: There is no object in assistant's hand, so can not put it on chopping_board0.

",nothing,nothing,,put_obj_in_utensil(chopping_board0);cut(chopping_board0),<pot0> is empty,False,True,False,0,2,0.0,1.0
a82f5e57a5ad62e4,6,wait(1),put_obj_in_utensil(chopping_board0),"X       X       X       P       X       

I       →1p     X       ↑0      X       

C               X               X       

D               X               O       

X       B       X       S       X       

",0,baked_potato_slices,0,0,0,0,,,"Successful Action History: []
Lessons from Past Failures
[]
Chef space:pot0  oven0  counter 
Assistant space:chopping_board0  blender0  dish_dispenser  ingredient_dispenser
Order:baked_potato_slices
Scene 6: <Chef> holds nothing. The planned sequence of actions (yet to be performed) for Chef is [] <Assistant> holds one potato. The planned sequence of actions (yet to be performed) for Assistant is [put_obj_in_utensil(chopping_board0);cut(chopping_board0)] Kitchen states: <pot0> is empty; <chopping_board0> is empty; <oven0> is empty; <blender0> is empty; 3 counters can be visited by <Chef>. Their states are as follows: counters have nothing.
",,nothing,one potato,,put_obj_in_utensil(chopping_board0);cut(chopping_board0),<pot0> is empty,False,True,False,0,2,0.0,0.0
a82f5e57a5ad62e4,7,wait(2),put_obj_in_utensil(chopping_board0),"X       X       X       P       X       

I               X       ↑0      X       

C       ↓1p     X               X       

D               X               O       

X       B       X       S       X       

",0,baked_potato_slices,0,0,0,0,,,"Successful Action History: []
Lessons from Past Failures
[]
Chef space:pot0  oven0  counter 
Assistant space:chopping_board0  blender0  dish_dispenser  ingredient_dispenser
Order:baked_potato_slices
Scene 7: <Chef> holds nothing. The planned sequence of actions (yet to be performed) for Chef is [] <Assistant> holds one potato. The planned sequence of actions (yet to be performed) for Assistant is [put_obj_in_utensil(chopping_board0);cut(chopping_board0)] Kitchen states: <pot0> is empty; <chopping_board0> is empty; <oven0> is empty; <blender0> is empty; 3 counters can be visited by <Chef>. Their states are as follows: counters have nothing.
",,nothing,one potato,,put_obj_in_utensil(chopping_board0);cut(chopping_board0),<pot0> is empty,False,False,False,0,2,0.0,0.0
a82f5e57a5ad62e4,8,wait(2),put_obj_in_utensil(chopping_board0),"X       X       X       P       X       

I               X       ↑0      X       

C       ←1p     X               X       

D               X               O       

X       B       X       S       X       

",0,baked_potato_slices,0,0,0,0,,,,,,,,,,True,True,True,0,0,0.0,-2.0
a82f5e57a5ad62e4,9,wait(1),cut(chopping_board0),"X       X       X       P       X       

I               X       ↑0      X       

C-      ←1      X               X       

D               X               O       

X       B       X       S       X       

",0,baked_potato_slices,0,0,0,0,,,"Successful Action History: []
Lessons from Past Failures
[]
Chef space:pot0  oven0  counter 
Assistant space:chopping_board0  blender0  dish_dispenser  ingredient_dispenser
Order:baked_potato_slices
Scene 9: <Chef> holds nothing. The planned sequence of actions (yet to be performed) for Chef is [] <Assistant> holds nothing. The planned sequence of actions (yet to be performed) for Assistant is [cut(chopping_board0)] Kitchen states: <pot0> is empty; <oven0> is empty; <blender0> is empty; <chopping_board0> has potato, which are all the ingredients you need to make potato_slices; 3 counters can be visited by <Chef>. Their states are as follows: counters have nothing.
",,nothing,nothing,,cut(chopping_board0),<pot0> is empty,True,True,True,0,1,0.0,1.0
