run_id,timestep,actions_0,actions_1,map,score,order_list,validator_err_0,validator_err_1,format_err_0,format_err_1,first_validator_msg_0,first_validator_msg_1,scene_raw_p0,scene_raw_p1,chef_holds,asst_holds,chef_queue_str,asst_queue_str,pot_line,delta_chef_holds,delta_asst_holds,delta_pot_line,chef_queue_len,asst_queue_len,delta_chef_queue_len,delta_asst_queue_len,comm_tokens_p0,comm_tokens_p1,waste_3b_near_duplicate_say,directive_lex_score,waste_3c_validator_after_directive,waste_3d_late_talk,waste_3a_both_wait_no_scene,waste_3a_nothing_high_tokens,waste_score
17339db63431d2be,0,wait(1),"pickup(egg, ingredient_dispenser)","X       X       X       P       X       

I               X       ↑0      X       

C       ↑1      X               X       

D               X               O       

X       B       X       S       X       

",0,boiled_egg,0,0,0,0,,,"Successful Action History: []
Lessons from Past Failures
[]
Chef space:pot0  oven0  counter 
Assistant space:chopping_board0  blender0  dish_dispenser  ingredient_dispenser
Order:boiled_egg
Scene 0: <Chef> holds nothing. The planned sequence of actions (yet to be performed) for Chef is [] <Assistant> holds nothing. The planned sequence of actions (yet to be performed) for Assistant is [] Kitchen states: <pot0> is empty; <chopping_board0> is empty; <oven0> is empty; <blender0> is empty; 3 counters can be visited by <Chef>. Their states are as follows: counters have nothing.
",,nothing,nothing,,,<pot0> is empty,True,True,True,0,0,0.0,0.0,1020.0,0.0,0,8,0,0,0,1,1
17339db63431d2be,1,wait(1),"pickup(egg, ingredient_dispenser)","X       X       X       P       X       

I       ↑1      X       ↑0      X       

C               X               X       

D               X               O       

X       B       X       S       X       

",0,boiled_egg,0,0,0,0,,,"Successful Action History: []
Lessons from Past Failures
[]
Chef space:pot0  oven0  counter 
Assistant space:chopping_board0  blender0  dish_dispenser  ingredient_dispenser
Order:boiled_egg
Scene 1: <Chef> holds nothing. The planned sequence of actions (yet to be performed) for Chef is [] <Assistant> holds nothing. The planned sequence of actions (yet to be performed) for Assistant is [pickup(egg, ingredient_dispenser)] Kitchen states: <pot0> is empty; <chopping_board0> is empty; <oven0> is empty; <blender0> is empty; 3 counters can be visited by <Chef>. Their states are as follows: counters have nothing.
",,nothing,nothing,,"pickup(egg, ingredient_dispenser)",<pot0> is empty,False,False,False,0,1,0.0,1.0,553.0,0.0,0,2,0,0,0,1,1
17339db63431d2be,2,wait(1),"pickup(egg, ingredient_dispenser)","X       X       X       P       X       

I       ←1      X       ↑0      X       

C               X               X       

D               X               O       

X       B       X       S       X       

",0,boiled_egg,0,0,0,0,,,"Successful Action History: []
Lessons from Past Failures
[]
Chef space:pot0  oven0  counter 
Assistant space:chopping_board0  blender0  dish_dispenser  ingredient_dispenser
Order:boiled_egg
Scene 2: <Chef> holds nothing. The planned sequence of actions (yet to be performed) for Chef is [] <Assistant> holds nothing. The planned sequence of actions (yet to be performed) for Assistant is [pickup(egg, ingredient_dispenser);pickup(egg, ingredient_dispenser);place_obj_on_counter()] Kitchen states: <pot0> is empty; <chopping_board0> is empty; <oven0> is empty; <blender0> is empty; 3 counters can be visited by <Chef>. Their states are as follows: counters have nothing.
",,nothing,nothing,,"pickup(egg, ingredient_dispenser);pickup(egg, ingredient_dispenser);place_obj_on_counter()",<pot0> is empty,False,False,False,0,3,0.0,2.0,0.0,0.0,0,0,0,0,0,0,0
17339db63431d2be,3,wait(1),wait(1),"X       X       X       P       X       

I       ←1e     X       ↑0      X       

C               X               X       

D               X               O       

X       B       X       S       X       

",0,boiled_egg,0,1,0,0,,"There is object in assistant's hand, so can not pick other thing.

","[Belief feedback]
Partner finished `pickup(egg, ingredient_dispenser)`. Your last partner_prediction appears consistent.

Successful Action History: []
Lessons from Past Failures
[]
Chef space:pot0  oven0  counter 
Assistant space:chopping_board0  blender0  dish_dispenser  ingredient_dispenser
Order:boiled_egg
Scene 3: <Chef> holds nothing. The planned sequence of actions (yet to be performed) for Chef is [] <Assistant> holds one egg. The planned sequence of actions (yet to be performed) for Assistant is [pickup(egg, ingredient_dispenser);place_obj_on_counter()] Kitchen states: <pot0> is empty; <chopping_board0> is empty; <oven0> is empty; <blender0> is empty; 3 counters can be visited by <Chef>. Their states are as follows: counters have nothing.
","Successful Action History: [{'timestamp': 3, 'action': 'pickup(egg, ingredient_dispenser)'}]
Lessons from Past Failures
[]
Chef space:pot0  oven0  counter 
Assistant space:chopping_board0  blender0  dish_dispenser  ingredient_dispenser
Order:boiled_egg
Scene 3: <Assistant> holds one egg. The planned sequence of actions (yet to be performed) for Assistant is [pickup(egg, ingredient_dispenser)] <Chef> holds nothing. The planned sequence of actions (yet to be performed) for Chef is [] Kitchen states: <pot0> is empty; <chopping_board0> is empty; <oven0> is empty; <blender0> is empty; 3 counters can be visited by <Assistant>. Their states are as follows: counters have nothing.

Below are the failed and analysis history about your last chosed action,you can use the information to reach correct action alone AND DO NOT COMMUNICATE WITH YOUR TEAMMATE :
Your action pickup(egg, ingredient_dispenser) raised an error: There is object in assistant's hand, so can not pick other thing.


",nothing,one egg,,"pickup(egg, ingredient_dispenser);place_obj_on_counter()",<pot0> is empty,False,True,False,0,2,0.0,-1.0,475.0,0.0,0,4,1,0,0,1,2
17339db63431d2be,4,wait(1),place_obj_on_counter(),"X       X       X       P       X       

I       ←1e     X       ↑0      X       

C               X               X       

D               X               O       

X       B       X       S       X       

",0,boiled_egg,1,0,0,0,"There is no egg on counter chef can visited.If assistant is already preparing ingredient for you,you should wait.

",,"[Belief feedback]
Partner finished `pickup(egg, ingredient_dispenser)`. Your last partner_prediction appears consistent.

Successful Action History: []
Lessons from Past Failures
[]
Chef space:pot0  oven0  counter 
Assistant space:chopping_board0  blender0  dish_dispenser  ingredient_dispenser
Order:boiled_egg
Scene 4: <Chef> holds nothing. The planned sequence of actions (yet to be performed) for Chef is [pickup(egg, counter)] <Assistant> holds one egg. The planned sequence of actions (yet to be performed) for Assistant is [place_obj_on_counter()] Kitchen states: <pot0> is empty; <chopping_board0> is empty; <oven0> is empty; <blender0> is empty; 3 counters can be visited by <Chef>. Their states are as follows: counters have nothing.

Below are the failed and analysis history about your last chosed action,you can use the information to reach correct action alone AND DO NOT COMMUNICATE WITH YOUR TEAMMATE :
Your action pickup(egg, counter) raised an error: There is no egg on counter chef can visited.If assistant is already preparing ingredient for you,you should wait.


",,nothing,one egg,"pickup(egg, counter)",place_obj_on_counter(),<pot0> is empty,False,False,False,1,1,1.0,-1.0,515.0,0.0,1,3,0,0,0,1,2
ae3bb6f2daa53b15,0,wait(1),"pickup(egg, ingredient_dispenser)","X       X       X       P       X       

I               X       ↑0      X       

C       ↑1      X               X       

D               X               O       

X       B       X       S       X       

",0,boiled_egg,0,0,0,0,,,"Successful Action History: []
Lessons from Past Failures
[]
Chef space:pot0  oven0  counter 
Assistant space:chopping_board0  blender0  dish_dispenser  ingredient_dispenser
Order:boiled_egg
Scene 0: <Chef> holds nothing. The planned sequence of actions (yet to be performed) for Chef is [] <Assistant> holds nothing. The planned sequence of actions (yet to be performed) for Assistant is [] Kitchen states: <pot0> is empty; <chopping_board0> is empty; <oven0> is empty; <blender0> is empty; 3 counters can be visited by <Chef>. Their states are as follows: counters have nothing.
",,nothing,nothing,,,<pot0> is empty,True,True,True,0,0,0.0,0.0,623.0,0.0,0,3,0,0,0,1,1
ae3bb6f2daa53b15,1,wait(1),"pickup(egg, ingredient_dispenser)","X       X       X       P       X       

I       ↑1      X       ↑0      X       

C               X               X       

D               X               O       

X       B       X       S       X       

",0,boiled_egg,0,0,0,0,,,"Successful Action History: []
Lessons from Past Failures
[]
Chef space:pot0  oven0  counter 
Assistant space:chopping_board0  blender0  dish_dispenser  ingredient_dispenser
Order:boiled_egg
Scene 1: <Chef> holds nothing. The planned sequence of actions (yet to be performed) for Chef is [] <Assistant> holds nothing. The planned sequence of actions (yet to be performed) for Assistant is [pickup(egg, ingredient_dispenser);place_obj_on_counter()] Kitchen states: <pot0> is empty; <chopping_board0> is empty; <oven0> is empty; <blender0> is empty; 3 counters can be visited by <Chef>. Their states are as follows: counters have nothing.
",,nothing,nothing,,"pickup(egg, ingredient_dispenser);place_obj_on_counter()",<pot0> is empty,False,False,False,0,2,0.0,2.0,0.0,0.0,0,0,0,0,0,0,0
ae3bb6f2daa53b15,2,wait(1),"pickup(egg, ingredient_dispenser)","X       X       X       P       X       

I       ←1      X       ↑0      X       

C               X               X       

D               X               O       

X       B       X       S       X       

",0,boiled_egg,0,0,0,0,,,"Successful Action History: []
Lessons from Past Failures
[]
Chef space:pot0  oven0  counter 
Assistant space:chopping_board0  blender0  dish_dispenser  ingredient_dispenser
Order:boiled_egg
Scene 2: <Chef> holds nothing. The planned sequence of actions (yet to be performed) for Chef is [] <Assistant> holds nothing. The planned sequence of actions (yet to be performed) for Assistant is [pickup(egg, ingredient_dispenser);place_obj_on_counter()] Kitchen states: <pot0> is empty; <chopping_board0> is empty; <oven0> is empty; <blender0> is empty; 3 counters can be visited by <Chef>. Their states are as follows: counters have nothing.
",,nothing,nothing,,"pickup(egg, ingredient_dispenser);place_obj_on_counter()",<pot0> is empty,False,False,False,0,2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
ae3bb6f2daa53b15,3,wait(1),place_obj_on_counter(),"X       X       X       P       X       

I       ←1e     X       ↑0      X       

C               X               X       

D               X               O       

X       B       X       S       X       

",0,boiled_egg,0,0,0,0,,,"[Belief feedback]
Partner finished `pickup(egg, ingredient_dispenser)`. Your last partner_prediction appears consistent.

Successful Action History: []
Lessons from Past Failures
[]
Chef space:pot0  oven0  counter 
Assistant space:chopping_board0  blender0  dish_dispenser  ingredient_dispenser
Order:boiled_egg
Scene 3: <Chef> holds nothing. The planned sequence of actions (yet to be performed) for Chef is [] <Assistant> holds one egg. The planned sequence of actions (yet to be performed) for Assistant is [place_obj_on_counter()] Kitchen states: <pot0> is empty; <chopping_board0> is empty; <oven0> is empty; <blender0> is empty; 3 counters can be visited by <Chef>. Their states are as follows: counters have nothing.
",,nothing,one egg,,place_obj_on_counter(),<pot0> is empty,False,True,False,0,1,0.0,-1.0,0.0,0.0,0,0,0,0,0,0,0
ae3bb6f2daa53b15,4,wait(1),place_obj_on_counter(),"X       X       X       P       X       

I       →1e     X       ↑0      X       

C               X               X       

D               X               O       

X       B       X       S       X       

",0,boiled_egg,0,0,0,0,,,"[Belief feedback]
Partner finished `pickup(egg, ingredient_dispenser)`. Your last partner_prediction appears consistent.

Successful Action History: []
Lessons from Past Failures
[]
Chef space:pot0  oven0  counter 
Assistant space:chopping_board0  blender0  dish_dispenser  ingredient_dispenser
Order:boiled_egg
Scene 4: <Chef> holds nothing. The planned sequence of actions (yet to be performed) for Chef is [] <Assistant> holds one egg. The planned sequence of actions (yet to be performed) for Assistant is [place_obj_on_counter()] Kitchen states: <pot0> is empty; <chopping_board0> is empty; <oven0> is empty; <blender0> is empty; 3 counters can be visited by <Chef>. Their states are as follows: counters have nothing.
",,nothing,one egg,,place_obj_on_counter(),<pot0> is empty,False,False,False,0,1,0.0,0.0,520.0,0.0,0,2,1,0,0,1,2
