run_id,file_stem,source_path,order,order_level,success,total_score,horizon_len,p0_model,p1_model,p0_agent_type,p1_agent_type,num_timesteps,last_timestep,p0_actions,p1_actions,total_team_actions,p0_validator_errors,p1_validator_errors,sum_validator_errors,p0_comm_tokens,p1_comm_tokens,total_comm_tokens,p0_comm_calls,p1_comm_calls,total_comm_calls,p0_nonempty_comm_turns,p1_nonempty_comm_turns,total_nonempty_comm_turns,Int_cons,Int_non_cons,solo_completion,any_handoff
409e5604e4887791,experiment_2026-04-23_10-19-10_baked_potato_slices,src/data/a-tom_claude-sonnet-4-20250514/baked_potato_slices/experiment_2026-04-23_10-19-10_baked_potato_slices.json,baked_potato_slices,level_2,True,20,26,claude-sonnet-4-20250514,claude-sonnet-4-20250514,a-tom,a-tom,26,25,5,5,10,1,2,3,16301,1983,18284,12,2,14,33,4,37,1,0,False,True
e953930433993244,experiment_2026-04-23_10-15-18_baked_potato_slices,src/data/a-tom_gpt-4o/baked_potato_slices/experiment_2026-04-23_10-15-18_baked_potato_slices.json,baked_potato_slices,level_2,True,20,26,gpt-4o,gpt-4o,a-tom,a-tom,26,25,5,5,10,3,0,3,2317,1196,3513,4,2,6,5,2,7,1,0,False,True
603a0f5b5525aa85,experiment_2026-04-23_09-12-32_boiled_egg,src/data/a-tom_gpt-4o__a-tom_claude-sonnet-4-20250514/boiled_egg/experiment_2026-04-23_09-12-32_boiled_egg.json,boiled_egg,level_1,True,20,16,gpt-4o,claude-sonnet-4-20250514,a-tom,a-tom,16,15,5,2,7,1,0,1,693,723,1416,1,1,2,2,2,4,1,0,False,True
ecdc324ce0bce2aa,experiment_2026-04-26_15-27-57_baked_bell_pepper_soup,src/data/baseline_claude-sonnet-4-20250514__baseline_gpt-4o/baked_bell_pepper_soup/experiment_2026-04-26_15-27-57_baked_bell_pepper_soup.json,baked_bell_pepper_soup,level_3,True,20,41,claude-sonnet-4-20250514,gpt-4o,baseline,baseline,41,40,9,13,22,2,7,9,16747,1108,17855,12,2,14,47,4,51,1,4,False,True
9aa3d98d66f773f3,experiment_2026-04-26_15-36-53_baked_carrot_soup,src/data/baseline_claude-sonnet-4-20250514__baseline_gpt-4o/baked_carrot_soup/experiment_2026-04-26_15-36-53_baked_carrot_soup.json,baked_carrot_soup,level_3,True,20,39,claude-sonnet-4-20250514,gpt-4o,baseline,baseline,39,38,9,13,22,1,3,4,10055,2442,12497,12,3,15,26,8,34,1,2,False,True
3d8f54e6dc754da9,experiment_2026-04-26_15-42-41_baked_mushroom_soup,src/data/baseline_claude-sonnet-4-20250514__baseline_gpt-4o/baked_mushroom_soup/experiment_2026-04-26_15-42-41_baked_mushroom_soup.json,baked_mushroom_soup,level_3,True,20,39,claude-sonnet-4-20250514,gpt-4o,baseline,baseline,39,38,9,7,16,0,3,3,11172,1919,13091,11,3,14,31,6,37,1,1,False,True
ae9dc76cc022ac4b,experiment_2026-04-26_15-49-11_baked_potato_soup,src/data/baseline_claude-sonnet-4-20250514__baseline_gpt-4o/baked_potato_soup/experiment_2026-04-26_15-49-11_baked_potato_soup.json,baked_potato_soup,level_3,True,20,40,claude-sonnet-4-20250514,gpt-4o,baseline,baseline,40,39,9,14,23,3,6,9,20292,1619,21911,15,2,17,70,6,76,2,1,False,True
2738484f4469c0d2,experiment_2026-04-26_16-00-21_baked_pumpkin_soup,src/data/baseline_claude-sonnet-4-20250514__baseline_gpt-4o/baked_pumpkin_soup/experiment_2026-04-26_16-00-21_baked_pumpkin_soup.json,baked_pumpkin_soup,level_3,True,20,36,claude-sonnet-4-20250514,gpt-4o,baseline,baseline,36,35,9,10,19,1,4,5,15290,0,15290,12,0,12,43,0,43,1,1,False,True
867c34dbc47b302d,experiment_2026-04-23_08-22-19_baked_potato_slices,src/data/claude-sonnet-4-20250514__gpt-4o/baked_potato_slices/experiment_2026-04-23_08-22-19_baked_potato_slices.json,baked_potato_slices,level_2,True,20,27,claude-sonnet-4-20250514,gpt-4o,?,?,27,26,5,7,12,1,3,4,12291,532,12823,13,1,14,33,2,35,1,0,False,True
815b7f269c1185ac,experiment_2026-04-23_08-01-39_baked_potato_slices,src/data/gpt-4o__claude-sonnet-4-20250514/baked_potato_slices/experiment_2026-04-23_08-01-39_baked_potato_slices.json,baked_potato_slices,level_2,True,20,25,gpt-4o,claude-sonnet-4-20250514,?,?,25,24,5,5,10,4,1,5,5178,2679,7857,9,4,13,21,10,31,1,0,False,True
